,tilename,UG1,UG2,NP1,NP2,NP3,NP4,NP5
1305,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_18_16_11.jpg,"(0.0002923188731074333, 0.9220671057701111, 0.9909822344779968)","(5.552470975089818e-05, 0.011966352351009846, 0.9865303039550781)","(5.2404921007109806e-05, 0.07834836095571518, 0.8881984353065491)","(0.006834601983428001, 0.02835577167570591, 0.300844669342041)","(0.0003566355735529214, 0.004466102458536625, 0.7276243567466736)","(7.569274202978704e-06, 0.5500736832618713, 0.9970496892929077)","(0.0004594639758579433, 0.8612543344497681, 0.9998216032981873)"
1306,cw18-48/cw18-48_6_11_0.jpg,"(0.027893202379345894, 0.9992735981941223, 0.0011005474952980876)","(0.07684643566608429, 0.9717959761619568, 0.04328089579939842)","(0.10019704699516296, 0.9916359186172485, 0.03336884826421738)","(0.5088784098625183, 0.7461117506027222, 5.370211147237569e-05)","(0.026801351457834244, 0.9985880255699158, 0.0009577710879966617)","(4.136532879783772e-05, 0.9999023675918579, 0.009976545348763466)","(0.857252299785614, 0.40676191449165344, 0.005865396466106176)"
1307,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_5_18_10.jpg,"(0.006087418179959059, 0.9998804330825806, 0.005511108320206404)","(0.018958475440740585, 0.9996090531349182, 0.00032434926833957434)","(0.017100226134061813, 0.9999935626983643, 0.00020308821694925427)","(0.04454456642270088, 0.9895918965339661, 0.0001586160942679271)","(0.014669912867248058, 0.9999629259109497, 4.321819142205641e-05)","(0.0037646396085619926, 0.9999998807907104, 4.362293111626059e-06)","(0.1141427606344223, 0.9897727370262146, 2.1817888409714215e-05)"
1308,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_20_19_6.jpg,"(0.849807858467102, 0.9850356578826904, 0.18050925433635712)","(0.007961972616612911, 0.7704837322235107, 0.004845299292355776)","(0.04892906919121742, 0.9973618388175964, 0.0003491718671284616)","(0.004452503751963377, 0.3897705674171448, 0.00017561626737006009)","(0.0008316145977005363, 0.0053810011595487595, 0.9891136884689331)","(0.1309444159269333, 0.8259537220001221, 0.001618279260583222)","(0.03939072787761688, 0.8257375359535217, 0.010040237568318844)"
1309,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_2_23_18.jpg,"(0.42130136489868164, 0.9935919642448425, 0.02081536129117012)","(0.2082774043083191, 0.9803012013435364, 0.0004205998557154089)","(0.011972701177001, 0.9996002316474915, 0.0018585179932415485)","(0.6116347312927246, 0.5870691537857056, 0.00018834580259863287)","(0.10790608823299408, 0.9737831354141235, 0.0014468044973909855)","(0.0026906493585556746, 0.9994621872901917, 0.0015384824946522713)","(0.7508606910705566, 0.479882150888443, 0.00014381705841515213)"
1310,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_8_30_37.jpg,"(1.0376565114711411e-05, 0.18318073451519012, 0.9987838864326477)","(1.1077435857487217e-08, 0.0037186758127063513, 0.9972991347312927)","(1.9507180695654824e-05, 0.00020728950039483607, 0.9853140115737915)","(3.955671843414166e-07, 0.0003372494247741997, 0.9637835025787354)","(3.5401779285848534e-08, 6.616776954615489e-05, 0.9999980926513672)","(3.6406069625627424e-07, 0.009618591517210007, 0.9933381080627441)","(7.494936289731413e-05, 0.8004907965660095, 0.6398824453353882)"
1311,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_6_21_26.jpg,"(0.006284563336521387, 0.4482642412185669, 0.9403586983680725)","(0.01082569733262062, 0.9933585524559021, 0.6073492169380188)","(0.0021856045350432396, 0.9642220139503479, 0.9875120520591736)","(2.532177859393414e-05, 0.7908394932746887, 0.8798823356628418)","(0.019266100600361824, 0.5818984508514404, 0.9963821172714233)","(0.0018070214428007603, 0.999401330947876, 0.7083771228790283)","(1.9304112356621772e-05, 0.9990069270133972, 0.9999812841415405)"
1312,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_6_11.jpg,"(0.9790569543838501, 0.9363307952880859, 0.0003704095142893493)","(0.9576847553253174, 0.9125561118125916, 6.715105200783e-07)","(0.6422531008720398, 0.9452797174453735, 5.793803666165331e-06)","(0.7837204933166504, 0.9675396084785461, 0.0007743351743556559)","(0.930823564529419, 0.9922187328338623, 9.53111456425404e-09)","(0.2091238796710968, 0.9997133612632751, 0.006647750735282898)","(0.9117695689201355, 0.8484184741973877, 2.475376459187828e-05)"
1313,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_9_11_0.jpg,"(0.8439443707466125, 0.2198132425546646, 7.25847203284502e-05)","(0.8080697655677795, 0.6611999273300171, 0.0018331881146878004)","(0.9954512715339661, 0.11060269922018051, 0.00239912630058825)","(0.9801203608512878, 0.08904150873422623, 0.0001654344523558393)","(0.9915233850479126, 0.03834335878491402, 6.11964924246422e-06)","(0.9912077188491821, 0.640951931476593, 5.824264735565521e-05)","(0.8389967083930969, 0.6394438147544861, 5.441298344521783e-05)"
1314,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_15_28_7.jpg,"(0.4217509627342224, 0.8472763895988464, 0.0014193834504112601)","(0.772954523563385, 0.5910227298736572, 7.651091436855495e-05)","(0.8213403820991516, 0.8755866885185242, 2.4533289888495347e-06)","(0.7792519927024841, 0.43342167139053345, 1.252057063538814e-05)","(0.9151683449745178, 0.7628129124641418, 5.721865818486549e-06)","(0.79343581199646, 0.8625850677490234, 2.1192070107645122e-06)","(0.3768172264099121, 0.8608970046043396, 4.884462668997003e-06)"
1315,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_8_19_57.jpg,"(0.046810586005449295, 0.6646968126296997, 0.29793116450309753)","(0.6613808274269104, 0.9407660961151123, 9.346204751636833e-05)","(0.9890915155410767, 0.9902006983757019, 0.0038047581911087036)","(0.843502402305603, 0.8737137913703918, 8.972716386779211e-06)","(0.032445669174194336, 0.9647672772407532, 0.002372561953961849)","(0.1296481341123581, 0.9844383597373962, 0.5033276677131653)","(0.8903118968009949, 0.7538050413131714, 0.0006337420782074332)"
1316,cw18-48/cw18-48_27_34_7.jpg,"(0.04102800413966179, 0.08781524747610092, 0.19654439389705658)","(0.0024088453501462936, 0.020113248378038406, 0.0062721045687794685)","(0.010258789174258709, 0.00704173231497407, 0.004623226821422577)","(0.002772110980004072, 0.06882030516862869, 0.010602349415421486)","(0.0015565273351967335, 0.010182616300880909, 0.0024872098583728075)","(0.001310492167249322, 0.23528572916984558, 0.06503720581531525)","(0.012030662968754768, 0.17406222224235535, 0.32659977674484253)"
1317,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_18_26_3.jpg,"(0.9975736737251282, 0.023370102047920227, 2.2294030713965185e-05)","(0.994027853012085, 0.02120223082602024, 1.6301197319990024e-05)","(0.9913990497589111, 0.14291410148143768, 2.119713280990254e-05)","(0.9986633062362671, 0.01887272484600544, 1.1670733329083305e-05)","(0.9974602460861206, 0.0019057245226576924, 8.911142504075542e-05)","(0.9846765398979187, 0.05188896134495735, 0.0014550172490999103)","(0.9974828362464905, 0.01733219437301159, 0.0010602616239339113)"
1318,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_4_8_12.jpg,"(0.9558547735214233, 0.7931742668151855, 0.0021112493705004454)","(0.997066080570221, 0.27426135540008545, 2.4767567197159224e-07)","(0.9849873185157776, 0.6935275197029114, 1.3944229522167007e-06)","(0.9267142415046692, 0.6341317892074585, 0.00024030814529396594)","(0.9396077990531921, 0.5959973931312561, 1.0776549430602245e-07)","(0.5135884284973145, 0.989388108253479, 0.005801951978355646)","(0.8155177235603333, 0.8147717714309692, 0.00015317836368922144)"
1319,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_9_15_24.jpg,"(0.023008767515420914, 0.9987877011299133, 0.0008239382295869291)","(0.004474554676562548, 0.9856486320495605, 8.614092803327367e-05)","(0.0008717987802810967, 0.9997804760932922, 0.0020111259073019028)","(0.0033863005228340626, 0.9800686836242676, 0.000640130543615669)","(0.34113168716430664, 0.9997386336326599, 8.540201815776527e-05)","(0.0006404015002772212, 0.9983737468719482, 2.0247935026418418e-06)","(0.013000951148569584, 0.9978026747703552, 0.0007965785334818065)"
1320,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_18_16_24.jpg,"(0.03512929379940033, 0.9751703143119812, 2.002022483793553e-05)","(0.05168622359633446, 0.904826819896698, 0.0002932115166913718)","(0.008858613669872284, 0.9983850717544556, 1.9617590396592277e-07)","(0.014521452598273754, 0.8659567832946777, 1.4423997640733432e-07)","(0.2614693343639374, 0.638525664806366, 1.478861804571352e-06)","(0.00636488851159811, 0.987905740737915, 0.00039235438453033566)","(0.04533533379435539, 0.9755324125289917, 0.00015034618263598531)"
1321,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_2_20_22.jpg,"(0.19823160767555237, 0.6113239526748657, 0.0862814411520958)","(0.8917537331581116, 0.4944336712360382, 0.0008380148792639375)","(0.9979937076568604, 0.43681812286376953, 8.86054021975724e-06)","(0.5673893690109253, 0.18239903450012207, 1.816508847696241e-05)","(0.9794999361038208, 0.11493274569511414, 0.014628296718001366)","(0.950697124004364, 0.0774833932518959, 2.769749244180275e-06)","(0.7475805878639221, 0.36403605341911316, 4.2867730371654034e-05)"
1322,NA7UCDtemporalgyri _4G8/NA7UCDtemporalgyri _4G8_6_11_3.jpg,"(2.1720379663747735e-05, 0.7284654974937439, 0.9999992847442627)","(2.7326336748956237e-08, 0.00017016322817653418, 0.9999839067459106)","(4.316588456276804e-05, 0.9841066598892212, 0.06249150633811951)","(0.00034960589255206287, 0.008176668547093868, 0.03487912937998772)","(1.2570574199344264e-06, 0.016454750671982765, 0.4781980812549591)","(0.0010496285976842046, 0.01749742031097412, 0.9994852542877197)","(2.1826608644914813e-06, 0.4645644724369049, 0.9932886958122253)"
1323,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_7_23_9.jpg,"(3.501290279928071e-08, 0.04395410045981407, 1.0)","(6.6006546148855705e-06, 1.9001952750841156e-05, 0.9999620914459229)","(0.0022162736859172583, 9.169593977276236e-05, 0.9999970197677612)","(3.388754876709754e-08, 3.331249672555714e-06, 0.9999761581420898)","(7.09496162016876e-05, 0.00016015561413951218, 0.9998669624328613)","(2.2277615698840236e-06, 0.04270976036787033, 0.9999978542327881)","(2.7958417376794387e-06, 5.021311153541319e-05, 0.9999997615814209)"
1324,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_23_18_24.jpg,"(0.6853457093238831, 0.9990476965904236, 0.010847808793187141)","(0.4186326563358307, 0.9941129088401794, 8.119169797282666e-05)","(0.8414701819419861, 0.9897128343582153, 0.0008057895465753973)","(0.9810861945152283, 0.9454548954963684, 1.5608769388109067e-07)","(0.7393121123313904, 0.9882680773735046, 0.007507781032472849)","(0.058082692325115204, 0.9889094233512878, 0.007454862352460623)","(0.9715949296951294, 0.7359619736671448, 0.00017470199964009225)"
1325,cw13-0/cw13-0_19_18_3.jpg,"(0.00010492008732398972, 1.7891556126414798e-05, 0.9971545934677124)","(0.00012345037248451263, 0.0012346290750429034, 0.2658000886440277)","(1.3350062545214314e-05, 0.00018177618039771914, 0.20812764763832092)","(2.24159248318756e-06, 0.0007917510811239481, 0.0269425418227911)","(3.404320978006581e-06, 8.582860573369544e-07, 0.7187370657920837)","(0.00047118295333348215, 0.0016036807792261243, 0.42465418577194214)","(3.660224683699198e-05, 0.00010279415437253192, 0.9991716146469116)"
1326,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_9_12_4.jpg,"(0.0131458081305027, 0.0351470522582531, 0.9974017143249512)","(8.607577910879627e-06, 0.0010965520050376654, 0.9990668892860413)","(8.899212116375566e-05, 0.0037080049514770508, 0.7764241695404053)","(3.376482027306338e-06, 0.0018186649540439248, 0.5417628884315491)","(0.00019286693714093417, 0.00013864922220818698, 0.9917422533035278)","(0.00020121164561714977, 0.2674950659275055, 0.8863635063171387)","(1.0239405128231738e-06, 0.02118835598230362, 0.9997299313545227)"
1327,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_13_20_23.jpg,"(4.033654931845376e-06, 0.0005990340723656118, 0.9999629259109497)","(7.025808912430875e-08, 0.004798470064997673, 0.9844384789466858)","(1.543485268484801e-06, 1.2929124295624206e-06, 0.9936115145683289)","(1.3999591885749396e-07, 2.195374236180214e-06, 0.980242908000946)","(8.823884956044026e-10, 6.542084065586096e-06, 0.9996927976608276)","(3.5395480608713115e-06, 0.00014815655595157295, 0.9972469806671143)","(8.296713076560991e-07, 1.0079947969643399e-05, 0.9999991655349731)"
1328,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_16_18_26.jpg,"(0.2530537545681, 0.9994163513183594, 0.0012641600333154202)","(0.766347348690033, 0.9977758526802063, 8.281556802103296e-06)","(0.12009470909833908, 0.9997246861457825, 2.096606067425455e-06)","(0.010154477320611477, 0.9944276809692383, 0.0011914762435480952)","(0.08489537239074707, 0.9997665286064148, 9.988570127461571e-06)","(0.00048671799595467746, 1.0, 0.004733598325401545)","(0.23098193109035492, 0.9934524297714233, 7.64847281971015e-05)"
1329,NA7UCDtemporalgyri _4G8/NA7UCDtemporalgyri _4G8_4_29_0.jpg,"(0.002370164729654789, 0.6569917798042297, 0.9983892440795898)","(0.5285634994506836, 0.26224735379219055, 0.00011836915655294433)","(0.7177165150642395, 0.8820599317550659, 3.4752734791254625e-05)","(0.05495650693774223, 0.03807080537080765, 6.852388878542115e-07)","(0.0005410123849287629, 0.18100382387638092, 0.5721806287765503)","(0.9894723296165466, 0.014602113515138626, 0.020745612680912018)","(0.0023387379478663206, 0.08580727130174637, 0.35341721773147583)"
1330,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_11_40_13.jpg,"(0.6041070222854614, 0.9744458794593811, 0.0035092916805297136)","(0.009197738952934742, 0.9434348940849304, 0.002948070876300335)","(0.02093096263706684, 0.9922991394996643, 0.00043440950685180724)","(0.6333122253417969, 0.7633643746376038, 2.8947929422429297e-06)","(0.05511602759361267, 0.9655558466911316, 0.11844122409820557)","(0.002978118835017085, 0.9610793590545654, 0.6091024875640869)","(0.8654650449752808, 0.7738087773323059, 0.008075867779552937)"
1331,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_24_17_11.jpg,"(0.008280263282358646, 0.371502548456192, 0.13604667782783508)","(0.0006904967012815177, 0.6743953227996826, 0.057648301124572754)","(0.00029323220951482654, 0.9212607741355896, 0.8911489844322205)","(0.002595827914774418, 0.8292930722236633, 0.9541285037994385)","(0.0009909308282658458, 0.9990555644035339, 0.0026951825711876154)","(0.09501428157091141, 0.9837548136711121, 0.014454269781708717)","(0.0012056510895490646, 0.9606614112854004, 0.7846899628639221)"
1332,cw18-48/cw18-48_3_20_2.jpg,"(0.14831240475177765, 0.9780603051185608, 1.2165763109805994e-05)","(0.8675897121429443, 0.09675905853509903, 7.182086847024038e-05)","(0.9090733528137207, 0.09768923372030258, 1.529856672277674e-05)","(0.9890642762184143, 0.04261375591158867, 1.641454332457215e-07)","(0.9934911131858826, 0.01022341288626194, 2.9810291835019598e-06)","(0.0059333243407309055, 0.9927477240562439, 0.01471162773668766)","(0.9899100661277771, 0.02327818237245083, 3.071730679948814e-05)"
1333,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_3_3_4.jpg,"(0.011684047989547253, 0.9746440052986145, 0.9813070297241211)","(9.182414032693487e-06, 0.10242313891649246, 0.9994377493858337)","(0.006418103352189064, 0.03552243486046791, 0.9424580335617065)","(1.3262060747365467e-05, 0.02889161929488182, 0.9603345990180969)","(4.365511631476693e-05, 0.5616056323051453, 0.999799907207489)","(0.0059202671982347965, 0.13337762653827667, 0.9958174824714661)","(0.0012802545679733157, 0.9988191723823547, 0.7883660793304443)"
1334,cw15-29/cw15-29_15_6_22.jpg,"(6.155106348160189e-06, 7.216262019937858e-05, 0.9999994039535522)","(1.1489788676044554e-06, 8.242711373895872e-06, 0.9379370808601379)","(5.884418641244338e-08, 2.1857921694845572e-08, 0.9994572997093201)","(3.398406249743857e-07, 0.00010712428775150329, 0.9171223044395447)","(5.908926326014807e-08, 6.869385833851993e-05, 0.9740809798240662)","(4.0290433389600366e-05, 1.8197286408394575e-05, 0.9991336464881897)","(6.469972504419275e-07, 3.146856641933482e-08, 0.998794436454773)"
1335,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_16_33_0.jpg,"(0.9926404356956482, 0.9918038845062256, 4.647002242563758e-06)","(0.8294253349304199, 0.9657177925109863, 1.97250597011589e-06)","(0.9657419323921204, 0.9991256594657898, 2.0353975287434878e-06)","(0.9885202050209045, 0.9396363496780396, 2.1871475297530196e-08)","(0.9092399477958679, 0.9980389475822449, 5.581424034062366e-07)","(0.5502904653549194, 0.9875823259353638, 0.00037842444726265967)","(0.8931481242179871, 0.9958458542823792, 3.4986234823009e-05)"
1336,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_20_36_35.jpg,"(1.0969367394864094e-05, 0.834817111492157, 0.9999569654464722)","(0.0001281817676499486, 0.007302798330783844, 0.9999082088470459)","(0.014775976538658142, 0.008625218644738197, 0.9996060729026794)","(9.341631084680557e-06, 0.012110034003853798, 0.985665500164032)","(0.0007038295152597129, 0.03427806496620178, 0.9999842643737793)","(7.241920911837951e-07, 0.9117757678031921, 0.9999974966049194)","(0.00015133833221625537, 0.030224118381738663, 0.9999788999557495)"
1337,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_17_7_26.jpg,"(0.35201045870780945, 0.7350837588310242, 0.08211180567741394)","(0.43599361181259155, 0.47226616740226746, 0.009691337123513222)","(0.7075860500335693, 0.7904590964317322, 0.0024113275576382875)","(0.2221660017967224, 0.06802143156528473, 1.1543748996700742e-06)","(0.021236615255475044, 0.5273168087005615, 0.0003755690704565495)","(0.0008622519671916962, 0.16410449147224426, 0.6724886298179626)","(0.2368950992822647, 0.3356754183769226, 0.43154338002204895)"
1338,cw13-0/cw13-0_28_15_19.jpg,"(0.001258953008800745, 0.010621068067848682, 0.9957377910614014)","(0.018471617251634598, 0.007679569069296122, 0.816826581954956)","(0.00023892933677416295, 0.003683753777295351, 0.9436705112457275)","(0.0002753864973783493, 0.010139050893485546, 0.21818022429943085)","(9.243760723620653e-05, 0.014460865408182144, 0.9010456800460815)","(0.002683275379240513, 0.005060154013335705, 0.9788907170295715)","(0.0004285678151063621, 0.024325452744960785, 0.9983294606208801)"
1339,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_7_21_39.jpg,"(7.814651148407847e-10, 0.0019521083449944854, 1.0)","(0.0007579149096272886, 0.011612539179623127, 0.9999586343765259)","(0.002683609491214156, 0.7993083000183105, 0.9999963045120239)","(2.388799111940898e-05, 0.00023878291540313512, 0.9999991655349731)","(5.246352156973444e-05, 0.6077591776847839, 0.9999991655349731)","(0.04725678637623787, 0.14376835525035858, 0.027848592028021812)","(2.80092876892013e-06, 0.31095394492149353, 1.0)"
1340,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_22_29_48.jpg,"(0.03597543388605118, 0.9747080206871033, 0.00016257588868029416)","(0.18548089265823364, 0.9475580453872681, 0.029803646728396416)","(0.03646983206272125, 0.9895496368408203, 1.6381798559450544e-05)","(0.2399594783782959, 0.8141997456550598, 6.743131052644458e-06)","(0.26550257205963135, 0.9661778211593628, 8.446737047052011e-05)","(0.003894530003890395, 0.996342122554779, 0.00936212856322527)","(0.07251624763011932, 0.9299255013465881, 0.0008026566938497126)"
1341,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_14_16_0.jpg,"(0.6841891407966614, 0.9960383176803589, 6.152797141112387e-05)","(0.8824064135551453, 0.9209295511245728, 0.0022125651594251394)","(0.23794375360012054, 0.999316930770874, 0.0005994944367557764)","(0.9349722266197205, 0.8862387537956238, 5.138004416949116e-05)","(0.9125789403915405, 0.9084646105766296, 2.529339508328121e-05)","(0.27582934498786926, 0.9502414464950562, 0.0011822455562651157)","(0.46968457102775574, 0.9727214574813843, 8.800139767117798e-05)"
1342,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_16_3_28.jpg,"(0.0006472454988397658, 0.17967988550662994, 0.9997062087059021)","(0.00856687966734171, 0.0004857523017562926, 0.05949051305651665)","(0.007511782925575972, 0.0017688493244349957, 0.05355580151081085)","(0.0008752295980229974, 0.01620812527835369, 0.023325113579630852)","(0.003704557428136468, 0.009336283430457115, 0.00036322075175121427)","(0.019787155091762543, 0.13990908861160278, 0.036205410957336426)","(0.0028573598247021437, 0.0008943079155869782, 0.8417783379554749)"
1343,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_15_24_5.jpg,"(0.9274901747703552, 0.5124204158782959, 0.002492915140464902)","(0.956001341342926, 0.1233011856675148, 3.253764589317143e-05)","(0.9954688549041748, 0.13733002543449402, 6.564744126080768e-08)","(0.9837973713874817, 0.17589642107486725, 1.3073512938888143e-08)","(0.9966062307357788, 0.07361538708209991, 8.123268344206735e-06)","(0.988699734210968, 0.4250499904155731, 0.003454051911830902)","(0.8360406756401062, 0.7697553038597107, 0.0030140564776957035)"
1344,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_22_21_43.jpg,"(0.6403520703315735, 0.9905244708061218, 0.0001347070501651615)","(0.443805992603302, 0.9898005127906799, 0.0002623168402351439)","(0.16600574553012848, 0.9931946992874146, 2.048989881586749e-05)","(0.9506696462631226, 0.8043699264526367, 1.958612756425282e-07)","(0.5426799058914185, 0.9892523884773254, 2.2606941740832553e-07)","(0.002356090350076556, 0.9999855756759644, 0.00044652557699009776)","(0.7967274785041809, 0.461368203163147, 0.00018790148897096515)"
1345,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_14_27_9.jpg,"(0.963028609752655, 0.3966345191001892, 0.007750346325337887)","(0.9848784804344177, 0.5865969061851501, 5.6634242355357856e-05)","(0.980797290802002, 0.5333803296089172, 6.287636642809957e-05)","(0.9686554074287415, 0.568210244178772, 1.8771661416394636e-05)","(0.9868354797363281, 0.7862544655799866, 3.8883135857759044e-05)","(0.9711185097694397, 0.9957879185676575, 0.0003530794056132436)","(0.9487872123718262, 0.41642600297927856, 6.99669835739769e-05)"
1346,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_4_18_23.jpg,"(0.08330000936985016, 0.9979864358901978, 0.005261765327304602)","(0.05302063375711441, 0.9985503554344177, 0.00026084890123456717)","(0.030182482674717903, 0.9997013211250305, 0.0001857673196354881)","(0.18995033204555511, 0.9834927320480347, 4.302816159906797e-05)","(0.00554199842736125, 0.9985246062278748, 0.00037868646904826164)","(0.0053696767427027225, 0.9999257326126099, 3.7548720683844294e-06)","(0.04130709543824196, 0.9908971190452576, 8.398610953008756e-05)"
1347,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_6_21_13.jpg,"(0.06624370813369751, 0.96357661485672, 8.565158350393176e-05)","(0.0827808827161789, 0.9278233051300049, 0.0008958938997238874)","(0.06516881287097931, 0.9965292811393738, 2.732446046138648e-05)","(0.19494983553886414, 0.8019388914108276, 2.2850081222713925e-05)","(0.05799267441034317, 0.9976440072059631, 9.863581908575725e-06)","(0.08160848170518875, 0.9985243678092957, 8.041145349579892e-08)","(0.02097787894308567, 0.989528238773346, 3.6648489185608923e-05)"
1348,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_5_35.jpg,"(0.8492525815963745, 0.9292462468147278, 0.011627878993749619)","(0.9521338939666748, 0.6077711582183838, 0.00022621535754296929)","(0.8890852332115173, 0.6499334573745728, 0.002064193831756711)","(0.5899665355682373, 0.8836955428123474, 0.0003195071476511657)","(0.8544644117355347, 0.8870038390159607, 5.863842943654163e-06)","(0.19388067722320557, 0.9991762042045593, 0.0010513588786125183)","(0.4348279535770416, 0.9687941074371338, 0.014056310057640076)"
1349,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_17_4_14.jpg,"(0.020711906254291534, 0.1267489641904831, 0.7906079888343811)","(0.04731495678424835, 0.33526408672332764, 0.024003803730010986)","(0.016042660921812057, 0.46079227328300476, 0.03149997815489769)","(0.0002071191993309185, 0.22847500443458557, 0.17505857348442078)","(0.0010106883710250258, 0.3575265109539032, 0.00019372931274119765)","(0.003737890860065818, 0.47211456298828125, 0.10717198997735977)","(0.003223470877856016, 0.06645739823579788, 0.21633341908454895)"
1350,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_10_21_11.jpg,"(0.0010762736201286316, 0.9034202098846436, 0.8772746324539185)","(1.638125286262948e-05, 0.9394304752349854, 0.6075124740600586)","(6.788939936086535e-05, 0.9984424710273743, 0.9850875735282898)","(0.00012487656204029918, 0.1213977113366127, 0.8938257098197937)","(0.002457923023030162, 0.834713876247406, 0.40712013840675354)","(8.905417053028941e-05, 0.6328848004341125, 0.821256160736084)","(0.0003293799818493426, 0.9967537522315979, 0.6546193361282349)"
1351,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_9_18_32.jpg,"(0.6167559027671814, 0.9962939620018005, 0.00021149801614228636)","(0.08245135098695755, 0.9988804459571838, 4.6997542085591704e-05)","(0.0013873717980459332, 0.9998103976249695, 0.0017114499351009727)","(0.023062434047460556, 0.9732373356819153, 2.9542334232246503e-06)","(0.0002444296551402658, 0.9993380904197693, 0.025785187259316444)","(0.0017788928234949708, 0.998745322227478, 0.05123160779476166)","(0.23517364263534546, 0.9595378637313843, 0.0007086897385306656)"
1352,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_5_16_4.jpg,"(0.5239037275314331, 0.577786386013031, 2.763258919458167e-07)","(0.9874700903892517, 0.0281280018389225, 5.223309358370898e-07)","(0.6938506364822388, 0.27913516759872437, 1.4172364615205879e-08)","(0.6650495529174805, 0.2758943736553192, 1.560375153530913e-07)","(0.7792115807533264, 0.2896769642829895, 1.4619739374666096e-07)","(0.9401382207870483, 0.032911255955696106, 7.371105539277778e-07)","(0.5014145970344543, 0.6243351101875305, 1.3049381095697754e-06)"
1353,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_2_23.jpg,"(0.08888628333806992, 0.9989474415779114, 0.02380405366420746)","(0.21067385375499725, 0.9925645589828491, 1.3769577890343498e-05)","(0.018905941396951675, 0.9996829032897949, 0.0004792595573235303)","(0.5213758945465088, 0.9514605402946472, 1.735209487208067e-08)","(0.5955832600593567, 0.9947785139083862, 0.0005583449965342879)","(0.02950739674270153, 0.999789297580719, 1.0571922757662833e-05)","(0.19280454516410828, 0.9799994230270386, 0.00016982591478154063)"
1354,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_14_28_14.jpg,"(0.9434812664985657, 0.43271347880363464, 0.0008991961949504912)","(0.9967989921569824, 0.1437264382839203, 6.311807965175831e-07)","(0.9802001714706421, 0.43847835063934326, 6.866158628326957e-07)","(0.9732015132904053, 0.2685677409172058, 6.759387360943947e-06)","(0.9819062948226929, 0.15052269399166107, 1.7867909818392036e-08)","(0.2794444262981415, 0.972887396812439, 0.0011085496516898274)","(0.8742141723632812, 0.4176696836948395, 4.777732465299778e-05)"
